step,reward,tploss,action_a,action_f,A,f,expr
120,-1.186584877049383,1.686584877049383,1.0,-1.0,250.0,-100.0,250.00[m s^-1] | -100.00[m s^-1]
121,-1.232110507903377,1.732110507903377,0.46020638942718506,0.8092221021652222,250.0,-83.81555795669556,250.00[m s^-1] | -83.82[m s^-1]
122,-1.379930709723291,1.879930709723291,1.0,-1.0,250.0,-100.0,250.00[m s^-1] | -100.00[m s^-1]
123,-1.468679761173955,1.968679761173955,0.42122966051101685,-0.6319166421890259,250.0,-100.0,250.00[m s^-1] | -100.00[m s^-1]
124,-1.4661300232551902,1.9661300232551902,1.0,-0.7284719944000244,250.0,-100.0,250.00[m s^-1] | -100.00[m s^-1]
125,-1.319510168285171,1.819510168285171,0.5227488279342651,0.8394213914871216,250.0,-83.21157217025757,250.00[m s^-1] | -83.21[m s^-1]
126,-1.407589325927765,1.907589325927765,0.5793231725692749,-0.7736712694168091,250.0,-98.68499755859375,250.00[m s^-1] | -98.68[m s^-1]
127,-1.630394386338652,2.130394386338652,0.860788106918335,-0.21376781165599823,250.0,-100.0,250.00[m s^-1] | -100.00[m s^-1]
128,-1.654067443972047,2.154067443972047,1.0,1.0,250.0,-80.0,250.00[m s^-1] | -80.00[m s^-1]
129,-1.488200124303576,1.988200124303576,-1.0,0.032306015491485596,230.0,-79.35387969017029,230.00[m s^-1] | -79.35[m s^-1]
130,-1.56500461757222,2.06500461757222,1.0,-0.6444473266601562,250.0,-92.24282622337341,250.00[m s^-1] | -92.24[m s^-1]
131,-1.689793034175422,2.189793034175422,1.0,0.7317817211151123,250.0,-77.60719180107117,250.00[m s^-1] | -77.61[m s^-1]
132,-1.8355573011877553,2.3355573011877553,1.0,1.0,250.0,-57.60719180107117,250.00[m s^-1] | -57.61[m s^-1]
133,-1.841235833251253,2.341235833251253,1.0,0.5630279779434204,250.0,-46.34663224220276,250.00[m s^-1] | -46.35[m s^-1]
134,-1.705578754880149,2.205578754880149,-0.020687580108642578,-0.3300059735774994,249.58624839782715,-52.94675171375275,249.59[m s^-1] | -52.95[m s^-1]
135,-1.730871076777329,2.230871076777329,1.0,-1.0,250.0,-72.94675171375275,250.00[m s^-1] | -72.95[m s^-1]
136,-1.8468612257649872,2.3468612257649872,1.0,1.0,250.0,-52.94675171375275,250.00[m s^-1] | -52.95[m s^-1]
